event_id,ts,user,group,action,initiator,ip,request_id
35c656e4-a2b8-4b74-91f4-f03140524914,2025-10-01 20:22:50,user1,DevOps,remove_member,svc_saviynt,216.218.15.138,
4a0706a2-ef56-4b72-b5ad-c25ed1ae67e8,2025-10-03 01:55:40,user41,Contractor,remove_member,svc_saviynt,61.127.240.102,
74b5b304-7a25-405f-abd2-79f8cde0f9cf,2025-10-03 08:24:24,user31,DBA,privilege_escalation,iam_service,31.186.58.133,4c01fc74-1a84-43b1-acb2-dd228eae6280
e0e7ab02-e749-4a2a-a47c-4685d0cf7f27,2025-10-03 08:55:04,user33,Contractor,add_member,svc_saviynt,212.98.172.97,
525929a7-ba64-4512-96ce-980012bec32a,2025-10-04 07:51:16,user25,DBA,add_member,svc_saviynt,146.88.1.124,
f8d77ee4-aacc-437f-b8d5-89dbc4eb9071,2025-10-04 15:10:37,user47,Workday,privilege_escalation,iam_service,17.15.30.214,
6853d70f-2f88-47fd-9ca6-8704d892e459,2025-10-04 17:14:59,user33,DevOps,add_member,svc_saviynt,216.169.211.20,
0889b2cb-c8b9-412a-86f6-6732130f2cc4,2025-10-04 19:45:09,user34,HR,privilege_escalation,iam_service,213.164.229.167,
f23b9962-0eef-4f41-9a46-b8ffeb04fd7e,2025-10-04 21:56:01,user12,Contractor,remove_member,svc_saviynt,217.203.126.21,
48166585-feba-4042-bccb-42943c233250,2025-10-05 00:57:47,user12,DevOps,add_member,svc_saviynt,246.72.233.52,
888fdc6b-d7c5-4f93-98dd-8efaba9494ff,2025-10-05 02:14:11,user42,DBA,add_member,svc_saviynt,211.109.111.236,
0ff3e773-f2eb-43c4-85e9-f6a30d1b4434,2025-10-05 07:19:46,user33,Contractor,remove_member,svc_saviynt,216.48.113.106,
202c6c0e-adf6-4e4c-8d07-ff70e24e08e2,2025-10-05 11:26:58,user41,DBA,remove_member,svc_saviynt,204.143.147.114,
7697e358-3ad7-4374-a844-378714e0fb79,2025-10-05 11:33:19,user43,HR,privilege_escalation,iam_service,207.132.230.180,
bd576534-e875-433f-a8de-d39e0715312f,2025-10-05 15:39:09,user48,HR,add_member,svc_saviynt,166.175.81.30,
f60bdd81-73e6-4adb-9108-e2b475c6d31a,2025-10-05 15:53:44,user17,Finance,privilege_escalation,iam_service,90.230.128.31,
1e7b0a6c-437c-4a26-bad0-f53c9fe28840,2025-10-06 01:17:24,user42,Workday,remove_member,svc_saviynt,112.147.28.125,
31e086ce-8d67-4bad-99d2-8bb189bc0d9f,2025-10-06 07:09:47,user39,Contractor,privilege_escalation,iam_service,35.227.15.20,
b0a330e6-d917-43df-9c57-1d26ef602927,2025-10-06 12:14:57,user5,Workday,privilege_escalation,iam_service,49.248.221.106,
6744d5fc-1d85-4984-9bec-bb0870e43e7f,2025-10-06 12:30:08,user23,DBA,privilege_escalation,iam_service,208.38.157.10,
abe711d5-6f6c-413c-9e84-cd9f9b94bfbc,2025-10-06 12:45:15,user43,HR,privilege_escalation,iam_service,104.194.154.181,
4bbe70f4-5c7f-43ed-87c5-df409d4d8df3,2025-10-07 06:34:20,user39,Contractor,add_member,svc_saviynt,121.164.180.128,
c4df9eb0-c5fe-4745-83aa-7d15f71f4db9,2025-10-07 09:20:00,user29,DevOps,privilege_escalation,iam_service,204.85.127.25,
