usage_id,ts,user,app,action,duration,data_mb,session_id,request_id
3ac01d17-12f2-4687-b66e-3f6a82ebca43,2025-10-01 04:40:22.000000,user1,Snowflake,download,491,110.22,f15a6126-67c2-40eb-b458-5e65f2a0f096,
9e181cda-1b8b-4d01-9218-8ef6da0cfef7,2025-10-01 05:01:10.000000,user31,Databricks,upload,225,71.28,dd598874-4ebd-42e1-ba56-7dd3fc28e3a3,
610200d7-5f6f-49d0-ba19-318c3cd5bfce,2025-10-01 05:21:29.000000,user31,Databricks,upload,3437,51.71,de5c9349-f609-4f8d-8fed-cc14ba8f627f,
052eab14-7289-4ff4-a2e1-bcba818e6537,2025-10-01 06:44:16.000000,user31,SAP,upload,572,234.4,dd598874-4ebd-42e1-ba56-7dd3fc28e3a3,
abedfaf4-4f59-4136-913f-9a8be7ed4e6d,2025-10-01 07:33:10.000000,user31,Workday,view,1796,138.42,de5c9349-f609-4f8d-8fed-cc14ba8f627f,
3820d1a4-f67b-4463-a475-10b6a2d204a8,2025-10-01 08:38:42.000000,user31,SAP,upload,1287,133.03,dd598874-4ebd-42e1-ba56-7dd3fc28e3a3,
3b488647-3930-4dc0-ab83-88ab8a6d882f,2025-10-01 09:09:30.000000,user31,Databricks,download,3064,395.68,de5c9349-f609-4f8d-8fed-cc14ba8f627f,
6407857f-48ca-4460-90d7-deccb4af8f39,2025-10-01 09:32:34.000000,user31,GitHub,download,526,96.0,dd598874-4ebd-42e1-ba56-7dd3fc28e3a3,
38fcb5b7-ea66-4966-b11e-c8b8f04f7131,2025-10-01 10:57:01.000000,user31,Databricks,view,87,417.14,de5c9349-f609-4f8d-8fed-cc14ba8f627f,
0b178971-fa90-4f6f-8c49-c8ed3fd26067,2025-10-01 11:39:28.000000,user27,Salesforce,modify,449,314.5,caaa04f7-0c6f-4e3a-bc7a-3f7b5c5d4f1d,
72c71a75-6f31-4409-928b-bca308d831c7,2025-10-01 14:41:13.000000,user33,Jira,modify,2375,273.52,7b775558-5c61-4770-8b33-fdc71a54a9d3,
9355cded-110f-4791-b3b3-23e1a5182b05,2025-10-01 15:23:23.000000,user3,SAP,view,1679,430.59,77c6da29-5bde-4664-800f-56cd4401ca3b,
9f25c7ed-1ae9-42a4-9369-b962a5618851,2025-10-01 15:51:45.000000,user3,SAP,upload,1373,337.27,77c6da29-5bde-4664-800f-56cd4401ca3b,
1836cfe2-9c11-4257-959e-fa4286af0275,2025-10-01 16:38:42.000000,user33,Workday,download,987,379.18,7b775558-5c61-4770-8b33-fdc71a54a9d3,
f31cc0ff-ca15-4790-8f01-66c45eeed1ab,2025-10-01 17:27:20.000000,user28,GitHub,download,149,169.9,0aff5b6a-f7c6-4b41-9b0a-48f009c8536f,
15c87e8d-3739-46cb-bbf4-b3aba772bca9,2025-10-01 17:37:47.000000,user3,Jira,modify,375,329.8,77c6da29-5bde-4664-800f-56cd4401ca3b,
c19856a5-1509-42e8-8327-7011d8e708db,2025-10-01 17:43:08.000000,user28,SAP,view,2048,393.02,0aff5b6a-f7c6-4b41-9b0a-48f009c8536f,
65457eb0-2e48-4928-8c08-343c10bec0c2,2025-10-01 17:50:49.000000,user33,Workday,modify,500,424.19,7b775558-5c61-4770-8b33-fdc71a54a9d3,
075c200e-0908-4f95-b44a-3f0d078fa620,2025-10-01 18:49:32.000000,user3,Jira,modify,3552,396.41,77c6da29-5bde-4664-800f-56cd4401ca3b,
00b06385-3d2a-49a9-a82b-ea9b845a7f77,2025-10-01 19:15:49.000000,user3,Jira,download,2818,463.63,77c6da29-5bde-4664-800f-56cd4401ca3b,
50606021-e1ae-4317-9695-4d8ef379a599,2025-10-02 00:21:40.000000,user41,GitHub,view,3213,168.19,480361db-2d26-4388-8ccc-0d31c9c9763c,
